"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.209375000E4,1.766513797E-2
1.211718750E4,1.720467444E-2
1.214062500E4,1.416739795E-2
1.216406250E4,2.127775137E-2
1.218750000E4,3.034609886E-2
1.221093750E4,1.301071242E-2
1.223437500E4,8.553514421E-3
1.225781250E4,2.166454704E-2
1.228125000E4,2.463206697E-2
1.230468750E4,1.928987346E-2
1.232812500E4,1.210793834E-2
1.235156250E4,3.240637839E-2
1.237500000E4,8.655821695E-3
1.239843750E4,3.178506470E-2
1.242187500E4,1.878814684E-2
1.244531250E4,1.899556241E-2
1.246875000E4,1.886593913E-2
1.249218750E4,7.041694252E-3
1.251562500E4,2.155590905E-2
1.253906250E4,6.616479530E-3
1.256250000E4,2.594859366E-2
1.258593750E4,2.413293698E-2
1.260937500E4,1.368009952E-3
1.263281250E4,1.081428913E-2
1.265625000E4,1.881480149E-2
1.267968750E4,2.980205566E-3
1.270312500E4,1.044814155E-2
1.272656250E4,1.344713128E-2
1.275000000E4,6.172547370E-3
1.277343750E4,3.194106481E-2
1.279687500E4,1.597878472E-2
1.282031250E4,6.817991926E-3
1.284375000E4,2.003772742E-2
1.286718750E4,1.219001808E-2
1.289062500E4,1.790501226E-2
1.291406250E4,9.203038598E-3
1.293750000E4,1.775052314E-2
1.296093750E4,1.273886434E-2
1.298437500E4,7.203001661E-3
1.300781250E4,4.122226739E-2
1.303125000E4,1.370348104E-2
1.305468750E4,4.195031612E-3
1.307812500E4,9.389531102E-3
1.310156250E4,1.178156955E-2
1.312500000E4,7.935394963E-3
1.314843750E4,1.162296295E-2
1.317187500E4,1.636706888E-2
1.319531250E4,2.094868279E-3
1.321875000E4,1.389199338E-2
1.324218750E4,8.774720865E-3
1.326562500E4,1.279491309E-2
1.328906250E4,1.052603667E-2
1.331250000E4,1.527579964E-2
1.333593750E4,9.631544804E-3
1.335937500E4,1.327448505E-2
1.338281250E4,8.499786252E-3
1.340625000E4,1.890989420E-2
1.342968750E4,1.071331117E-2
1.345312500E4,2.319824717E-2
1.347656250E4,2.331871668E-3
1.350000000E4,1.985997762E-2
1.352343750E4,6.001032565E-3
1.354687500E4,2.502835365E-3
1.357031250E4,4.970996249E-3
1.359375000E4,5.621727661E-3
1.361718750E4,1.746957136E-2
1.364062500E4,4.377168368E-3
1.366406250E4,1.547107166E-2
1.368750000E4,6.175481661E-3
1.371093750E4,7.820294238E-3
1.373437500E4,1.078989104E-2
1.375781250E4,1.166918556E-2
1.378125000E4,1.421557936E-2
1.380468750E4,2.192812767E-2
1.382812500E4,1.803319139E-2
1.385156250E4,1.249677725E-2
1.387500000E4,1.757959462E-2
1.389843750E4,6.862723785E-3
1.392187500E4,1.061998611E-2
1.394531250E4,7.389298729E-3
1.396875000E4,9.855467469E-3
1.399218750E4,7.966686908E-3
1.401562500E4,4.338111262E-3
1.403906250E4,5.092909691E-3
1.406250000E4,1.607983491E-2
1.408593750E4,1.376291424E-2
1.410937500E4,1.194833126E-2
1.413281250E4,1.059062318E-2
1.415625000E4,7.385660710E-3
1.417968750E4,5.335183854E-3
1.420312500E4,3.832378845E-3
1.422656250E4,8.829944955E-3
1.425000000E4,2.745668252E-3
1.427343750E4,7.012556822E-3
1.429687500E4,1.163547956E-2
1.432031250E4,1.167609984E-2
1.434375000E4,1.046101949E-2
1.436718750E4,6.902792259E-3
1.439062500E4,9.928716209E-3
1.441406250E4,9.416857189E-3
1.443750000E4,4.976431053E-3
1.446093750E4,1.285479015E-3
1.448437500E4,7.515600103E-4
1.450781250E4,1.232955663E-2
1.453125000E4,1.254289213E-2
1.455468750E4,6.629670362E-3
1.457812500E4,1.566485712E-2
1.460156250E4,4.332537447E-3
1.462500000E4,5.957957642E-3
1.464843750E4,7.691240009E-4
1.467187500E4,5.709133604E-3
1.469531250E4,8.324854001E-3
1.471875000E4,5.706064826E-3
1.474218750E4,5.368173150E-3
1.476562500E4,4.649022934E-3
1.478906250E4,1.652526302E-2
1.481250000E4,1.986565308E-2
1.483593750E4,7.172109323E-3
1.485937500E4,1.412777080E-2
1.488281250E4,7.781699910E-3
1.490625000E4,1.098017853E-2
1.492968750E4,7.204120750E-3
1.495312500E4,8.833273474E-3
1.497656250E4,2.969991947E-3
1.500000000E4,9.120524027E-3
1.502343750E4,6.267008765E-3
1.504687500E4,8.301158580E-3
1.507031250E4,2.344337245E-3
1.509375000E4,1.120891423E-2
1.511718750E4,5.427989044E-3
1.514062500E4,5.319773697E-3
1.516406250E4,9.389738625E-3
1.518750000E4,1.033073945E-2
1.521093750E4,8.646969969E-3
1.523437500E4,1.069247161E-2
1.525781250E4,1.524076237E-2
1.528125000E4,1.099514133E-2
1.530468750E4,6.316201024E-3
1.532812500E4,3.778295487E-3
1.535156250E4,2.442187644E-3
1.537500000E4,1.783219382E-3
1.539843750E4,1.583912913E-2
1.542187500E4,3.674840196E-3
1.544531250E4,1.389531945E-2
1.546875000E4,6.013077056E-3
1.549218750E4,4.172387437E-3
1.551562500E4,2.810915496E-3
1.553906250E4,2.935008827E-3
1.556250000E4,6.165610322E-3
1.558593750E4,1.168109184E-2
1.560937500E4,3.716059447E-3
1.563281250E4,7.815627237E-3
1.565625000E4,1.308636632E-2
1.567968750E4,2.737405305E-3
1.570312500E4,4.530166541E-3
1.572656250E4,9.077152762E-3
1.575000000E4,1.046616482E-2
1.577343750E4,5.068271090E-3
1.579687500E4,8.132009106E-3
1.582031250E4,6.514344890E-3
1.584375000E4,7.726944319E-3
1.586718750E4,4.414912382E-3
1.589062500E4,5.522509357E-3
1.591406250E4,1.075537138E-2
1.593750000E4,5.823626583E-3
1.596093750E4,5.591284056E-3
1.598437500E4,6.683595124E-3
1.600781250E4,9.557363500E-3
1.603125000E4,1.168997972E-2
1.605468750E4,3.057419850E-3
1.607812500E4,2.683733473E-3
1.610156250E4,9.232389453E-3
1.612500000E4,1.073663075E-2
1.614843750E4,1.054092318E-2
1.617187500E4,8.748354878E-3
1.619531250E4,7.566731648E-3
1.621875000E4,1.160562145E-2
1.624218750E4,8.835362799E-3
1.626562500E4,1.130094557E-2
1.628906250E4,3.139158641E-3
1.631250000E4,8.725214760E-4
1.633593750E4,8.743971414E-3
1.635937500E4,8.074092541E-3
1.638281250E4,9.525468208E-3
1.640625000E4,1.564342905E-2
1.642968750E4,1.464876778E-2
1.645312500E4,6.328895297E-3
1.647656250E4,7.384034142E-3
1.650000000E4,2.051810403E-2
1.652343750E4,9.536610271E-3
1.654687500E4,6.783525516E-3
1.657031250E4,9.510943595E-3
1.659375000E4,7.457743387E-3
1.661718750E4,4.563750667E-3
1.664062500E4,7.067518389E-3
1.666406250E4,6.448966114E-4
1.668750000E4,1.729753673E-2
1.671093750E4,1.347089395E-2
1.673437500E4,1.144383507E-2
1.675781250E4,1.229011990E-2
1.678125000E4,1.240719323E-2
1.680468750E4,8.484535902E-3
1.682812500E4,9.566615643E-3
1.685156250E4,2.347718713E-3
1.687500000E4,6.007252396E-3
1.689843750E4,7.752787284E-3
1.692187500E4,4.265583030E-3
1.694531250E4,1.342862473E-2
1.696875000E4,2.810862974E-3
1.699218750E4,7.705673412E-3
1.701562500E4,4.213783820E-3
1.703906250E4,2.191255615E-2
1.706250000E4,2.803974322E-3
1.708593750E4,2.076264552E-2
1.710937500E4,1.043398230E-2
1.713281250E4,1.867283130E-2
1.715625000E4,1.049103015E-2
1.717968750E4,7.160751323E-3
1.720312500E4,7.828540869E-3
1.722656250E4,5.253124390E-3
1.725000000E4,9.213087172E-3
1.727343750E4,3.348846370E-3
1.729687500E4,8.018441155E-3
1.732031250E4,1.242962327E-2
1.734375000E4,1.115874662E-3
1.736718750E4,6.457268090E-3
1.739062500E4,6.275623579E-3
1.741406250E4,4.937809669E-3
1.743750000E4,4.889858475E-3
1.746093750E4,3.220008515E-3
1.748437500E4,7.588383738E-3
1.750781250E4,2.239747215E-2
1.753125000E4,8.892356492E-3
1.755468750E4,4.961089646E-3
1.757812500E4,1.212130610E-2
1.760156250E4,7.394699281E-3
