"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.765118929E0,1.185523510E0,1.659610748E1,2.520614243E1,3.020241490E1
1.773114621E0,8.105516434E-2,1.664233017E1,2.303586006E1,2.841873629E1
1.781111275E0,-6.782065630E-1,1.639196014E1,2.087738037E1,2.655223781E1
1.789144313E0,-1.169364214E0,1.581963444E1,1.845912552E1,2.433860229E1
1.797139852E0,-1.451976180E0,1.469208717E1,1.603702164E1,2.179797521E1
1.805153313E0,-1.601339817E0,1.356800365E1,1.389043903E1,1.948330847E1
1.813192582E0,-1.858020902E0,1.215086651E1,1.144235039E1,1.679354581E1
1.821189044E0,-2.159518480E0,1.057096291E1,9.423065186E0,1.432490608E1
1.829205544E0,-2.434809208E0,9.172272682E0,8.046293259E0,1.244193382E1
1.837202044E0,-2.767578602E0,7.603929520E0,6.755758286E0,1.054132371E1
1.845228313E0,-3.034238815E0,6.434209824E0,5.660797119E0,9.091220230E0
1.853224390E0,-3.384141922E0,5.272289276E0,4.555154324E0,7.745894504E0
1.861220928E0,-3.548033953E0,4.258887291E0,3.677235603E0,6.651971705E0
1.869238967E0,-3.561811209E0,3.440177917E0,3.013115406E0,5.796566884E0
1.877234044E0,-3.329474449E0,2.517602921E0,2.506171227E0,4.868738932E0
1.885246928E0,-2.975716591E0,1.745882034E0,2.177845716E0,4.079951626E0
1.893242236E0,-2.767096281E0,1.196943283E0,1.892922878E0,3.559866862E0
1.901238467E0,-2.683615208E0,6.908082962E-1,1.413251400E0,3.110672950E0
1.909271543E0,-2.717298031E0,3.183784485E-1,9.373517036E-1,2.892006508E0
1.917268466E0,-2.624793768E0,-1.667060852E-1,4.707281590E-1,2.671875417E0
1.925286505E0,-2.606886864E0,-6.329555511E-1,1.910848618E-1,2.689424711E0
1.933282351E0,-2.602429390E0,-1.025817871E0,-8.722019196E-2,2.798669040E0
1.941279274E0,-2.565788507E0,-1.565479279E0,-4.992551804E-1,3.046842919E0
1.949305466E0,-2.305199385E0,-2.028739929E0,-5.688171387E-1,3.123024630E0
1.957303197E0,-2.146545172E0,-2.701542377E0,-5.402243137E-1,3.492539148E0
1.965336966E0,-1.929986238E0,-3.325753212E0,-5.030145645E-1,3.877951129E0
1.973333582E0,-1.638072252E0,-3.860884666E0,-3.777320385E-1,4.210984755E0
1.981329159E0,-1.508578539E0,-4.555815220E0,-3.439676762E-1,4.811400554E0
1.989345505E0,-1.457587481E0,-5.327769756E0,-1.915245056E-1,5.526877371E0
1.997339543E0,-1.295862675E0,-6.031378269E0,-5.954146385E-2,6.169305397E0
2.005388735E0,-1.020785928E0,-6.886725426E0,5.667161942E-2,6.962198121E0
2.013385158E0,-6.031037569E-1,-7.664250374E0,3.213942051E-2,7.688010203E0
2.021380351E0,5.691778660E-2,-8.569303513E0,-4.832947254E-2,8.569628817E0
2.029410658E0,7.600789070E-1,-9.371764183E0,-1.742243767E-1,9.404150040E0
2.037406120E0,1.511743426E0,-1.000436401E1,-3.487181664E-1,1.012394547E1
2.045418504E0,1.841657639E0,-1.059574413E1,-5.700958967E-1,1.076970315E1
2.053413966E0,2.058475018E0,-1.088180542E1,-8.710018992E-1,1.110898973E1
2.061409658E0,2.301771641E0,-1.124118519E1,-1.058843970E0,1.152317438E1
2.069426774E0,2.624725819E0,-1.178386593E1,-1.227224231E0,1.213485728E1
2.077423735E0,2.910263538E0,-1.226966476E1,-1.383471608E0,1.268575189E1
2.085452466E0,3.066292286E0,-1.279713249E1,-1.580451965E0,1.325392685E1
2.093447081E0,2.622328281E0,-1.286123466E1,-2.090703249E0,1.329131306E1
2.101479158E0,1.934016466E0,-1.298180008E1,-2.591552258E0,1.337847884E1
2.109495966E0,2.008977175E0,-1.350069427E1,-2.628863811E0,1.390020360E1
2.117490120E0,2.285341501E0,-1.315442276E1,-3.594164848E0,1.382677276E1
2.125501812E0,3.531761408E0,-1.402746010E1,-4.137449265E0,1.504531362E1
2.133496120E0,4.666392326E0,-1.433949852E1,-5.370517254E0,1.600746359E1
2.141490350E0,5.166166782E0,-1.460176849E1,-6.552058697E0,1.681756212E1
2.149521966E0,4.106348038E0,-1.310091400E1,-8.884469986E0,1.635328251E1
2.157516812E0,1.698347330E0,-1.170568657E1,-1.024028301E1,1.564515509E1
2.165529850E0,4.648923874E-3,-1.102905464E1,-1.122242451E1,1.573476659E1
2.173525427E0,-1.277030706E0,-1.044956398E1,-1.258709240E1,1.640911606E1
2.181520889E0,-1.645313501E0,-1.055367851E1,-1.371747589E1,1.738552074E1
2.189558658E0,-1.405444622E0,-1.032146549E1,-1.492566395E1,1.820119141E1
2.197589004E0,-1.410560846E0,-9.547491074E0,-1.505658340E1,1.788421012E1
2.205584119E0,-1.914008617E0,-9.340405464E0,-1.466682625E1,1.749349580E1
2.213579504E0,-2.171497107E0,-9.080506325E0,-1.369890404E1,1.657802662E1
2.221576696E0,-2.281334877E0,-8.521100998E0,-1.234890270E1,1.517593651E1
2.229596004E0,-2.752667904E0,-8.035913467E0,-1.069951820E1,1.366136068E1
2.237594658E0,-3.086999655E0,-7.080077171E0,-7.837140083E0,1.100353690E1
2.245610042E0,-2.665324688E0,-5.787994862E0,-4.878315449E0,8.025135627E0
2.253605965E0,-2.044053555E0,-4.079068661E0,-1.408542871E0,4.775033936E0
2.261601811E0,-2.401686430E0,-2.209560394E0,1.984994650E0,3.819745882E0
2.269635004E0,-3.317488670E0,-3.466410637E-1,5.131076813E0,6.119954278E0
2.277630581E0,-3.683721066E0,1.915812492E0,8.746793747E0,9.682279651E0
2.285644965E0,-3.785815239E0,3.951941490E0,1.159364128E1,1.282040392E1
2.293683080E0,-4.687676430E0,5.666817188E0,1.335306168E1,1.524438859E1
2.301678311E0,-4.881479263E0,7.148954391E0,1.510649490E1,1.741099012E1
2.309694273E0,-5.720551491E0,8.648501396E0,1.819413185E1,2.094153098E1
2.317690388E0,-6.981238365E0,1.058463478E1,2.442189980E1,2.751729224E1
2.325718773E0,-7.308608055E0,1.236832809E1,3.145371819E1,3.457929553E1
2.333714388E0,-5.644396782E0,1.228198051E1,3.534782410E1,3.784408710E1
2.341710426E0,-5.241148949E0,1.366817760E1,3.772048950E1,4.046138962E1
2.349729388E0,-6.208167076E0,1.450245094E1,3.656047058E1,3.981871960E1
2.357725657E0,-6.443799973E0,1.459971046E1,3.305327988E1,3.670413348E1
2.365739388E0,-7.244606495E0,1.423409271E1,2.798055267E1,3.221808571E1
2.373736696E0,-7.986614227E0,1.330983829E1,2.362037277E1,2.826410820E1
2.381732272E0,-8.373612404E0,1.176968765E1,1.892370796E1,2.380650447E1
2.389764772E0,-8.553943634E0,1.003235531E1,1.509922886E1,2.004506964E1
2.397759811E0,-8.969019890E0,8.340330124E0,1.264595222E1,1.760467358E1
2.405773618E0,-9.567106247E0,6.422125816E0,1.028597260E1,1.544585557E1
2.413768888E0,-9.870876312E0,4.880219460E0,8.795854568E0,1.409318270E1
