"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.223697940E-1,1.853112102E0,6.387730122E0,6.473921299E0,9.281636577E0
5.243674090E-1,1.716642618E0,6.385335922E0,6.330269337E0,9.153779907E0
5.263664090E-1,1.355118155E0,6.392518520E0,6.665457726E0,9.334289739E0
5.283642940E-1,1.391031146E0,6.428431511E0,6.545747280E0,9.279359180E0
5.303636790E-1,1.335964561E0,6.505045891E0,6.277596951E0,9.138306562E0
5.323963320E-1,1.003170490E0,6.545747280E0,6.667851925E0,9.397521364E0
5.343949860E-1,9.768342972E-1,6.574477673E0,6.780379295E0,9.494814653E0
5.363930630E-1,8.667010069E-1,6.643909931E0,6.998251438E0,9.688561968E0
5.383926020E-1,7.924807668E-1,6.689399719E0,7.254431248E0,9.899639746E0
5.403904860E-1,8.954314590E-1,6.706159115E0,7.285555840E0,9.942519372E0
5.423897550E-1,1.132457376E0,6.730101109E0,7.259219646E0,9.963583217E0
5.443961020E-1,1.300051570E0,6.746860504E0,7.201758862E0,9.953672259E0
5.463958710E-1,1.364694953E0,6.756437302E0,7.156269073E0,9.935996396E0
5.483939090E-1,1.364694953E0,6.758831501E0,7.122750282E0,9.913514370E0
5.503934480E-1,1.304839969E0,6.763619900E0,7.108384609E0,9.898398519E0
5.524192550E-1,1.242590666E0,6.766014099E0,7.113173485E0,9.895464384E0
5.544187550E-1,1.154005170E0,6.780379295E0,7.103596210E0,9.887686809E0
5.564164860E-1,1.106121182E0,6.821080685E0,7.024587631E0,9.853703728E0
5.584159090E-1,1.103726983E0,6.849811077E0,6.959944248E0,9.827458928E0
5.604137550E-1,1.120486379E0,6.902483463E0,6.813898087E0,9.763655812E0
5.624132940E-1,1.127668977E0,6.912060261E0,6.756437302E0,9.731272239E0
5.644110250E-1,1.091755986E0,6.950367451E0,6.658275127E0,9.686700496E0
5.664103320E-1,1.108515382E0,6.979097843E0,6.548141479E0,9.634042240E0
5.684075250E-1,1.144428372E0,6.991068840E0,6.469132900E0,9.593458204E0
5.704073320E-1,1.201889277E0,6.995857239E0,6.318298340E0,9.503023216E0
5.725726400E-1,1.309628367E0,7.026981831E0,6.117185116E0,9.408164213E0
5.744522550E-1,1.326387763E0,7.043741226E0,6.035782337E0,9.370392915E0
5.764467550E-1,1.309628367E0,7.046135426E0,5.954379559E0,9.317606282E0
5.784457940E-1,1.312022567E0,7.031770229E0,5.925649166E0,9.288730474E0
5.804427550E-1,1.280897856E0,7.012616634E0,5.925649166E0,9.269887239E0
5.824419860E-1,1.235408068E0,6.993463039E0,5.978321552E0,9.283053752E0
5.844395240E-1,1.187524080E0,6.952761650E0,6.028599739E0,9.278745757E0
5.864388710E-1,1.225831270E0,6.945579052E0,6.023811340E0,9.275237665E0
5.884364860E-1,1.168370485E0,6.974309444E0,6.093243122E0,9.334543029E0
5.904354480E-1,1.180341482E0,6.964732647E0,6.129156113E0,9.352393357E0
5.924718320E-1,1.204283476E0,6.974309444E0,6.165069580E0,9.386126669E0
5.944709090E-1,1.314416766E0,6.940790653E0,6.196194172E0,9.396546629E0
5.964690630E-1,1.307234168E0,6.940790653E0,6.217741966E0,9.409768925E0
5.984683710E-1,1.331176162E0,6.945579052E0,6.227318764E0,9.422982401E0
6.004657940E-1,1.443703651E0,6.921637058E0,6.217741966E0,9.415606988E0
6.024650630E-1,1.462857246E0,6.900089264E0,6.248866558E0,9.423349534E0
6.044621780E-1,1.503558636E0,6.892906666E0,6.241683960E0,9.419738294E0
6.064612170E-1,1.493981838E0,6.883329868E0,6.258443356E0,9.422331189E0
6.084589470E-1,1.434126854E0,6.897695065E0,6.313509941E0,9.460196870E0
6.104581780E-1,1.436521053E0,6.890512466E0,6.330269337E0,9.466523367E0
6.125034090E-1,1.453280449E0,6.883329868E0,6.366182327E0,9.487915027E0
6.145025630E-1,1.486799240E0,6.840234280E0,6.382941723E0,9.473189643E0
6.164999090E-1,1.477222443E0,6.830657482E0,6.428431511E0,9.495514703E0
6.184989090E-1,1.450886250E0,6.821080685E0,6.550535679E0,9.567744264E0
6.204962550E-1,1.477222443E0,6.828263283E0,6.619967937E0,9.624517707E0
6.224952940E-1,1.484405041E0,6.816292286E0,6.770802498E0,9.721577306E0
6.244934470E-1,1.465251446E0,6.809109688E0,6.919242859E0,9.817680901E0
6.264929470E-1,1.458068848E0,6.806715488E0,6.955155849E0,9.840301489E0
6.284907170E-1,1.386242747E0,6.806715488E0,7.086836815E0,9.923522597E0
6.304899470E-1,1.326387763E0,6.813898087E0,7.189787865E0,9.994076304E0
6.324872170E-1,1.295263171E0,6.813898087E0,7.252037048E0,1.003488690E1
6.344862550E-1,1.304839969E0,6.825869083E0,7.331045628E0,1.010145168E1
6.364837170E-1,1.333570361E0,6.878541470E0,7.429207802E0,1.021204540E1
6.384829470E-1,1.333570361E0,6.897695065E0,7.467514992E0,1.025282338E1
6.404896400E-1,1.247379065E0,6.952761650E0,7.560888767E0,1.034716812E1
6.424886010E-1,1.197100878E0,6.967126846E0,7.639897823E0,1.040874372E1
6.444866010E-1,1.182735682E0,6.986280441E0,7.663839817E0,1.043750060E1
6.464856780E-1,1.173158884E0,7.003039837E0,7.709329605E0,1.048106062E1
6.484835630E-1,1.144428372E0,7.029376030E0,7.754819393E0,1.052896327E1
6.504824860E-1,1.163581967E0,7.043741226E0,7.752425194E0,1.053889510E1
6.525213700E-1,1.113303781E0,7.062894821E0,7.781155586E0,1.056741741E1
6.545204470E-1,1.197100878E0,7.048529625E0,7.730877399E0,1.053001832E1
6.565178700E-1,1.189918280E0,7.055712223E0,7.697358608E0,1.050943909E1
6.585170240E-1,1.182735682E0,7.038952827E0,7.663839817E0,1.047282967E1
6.605147550E-1,1.213860273E0,7.022193432E0,7.606379032E0,1.042313098E1
6.625141010E-1,1.228225470E0,7.015010834E0,7.608773232E0,1.042172466E1
