"Time (s)","Recording (a.u.)"
1.422916667E-2,2.368164062E-2
1.425000000E-2,1.681518555E-2
1.427083333E-2,1.119995117E-2
1.429166667E-2,9.155273438E-3
1.431250000E-2,9.429931641E-3
1.433333333E-2,1.007080078E-2
1.435416667E-2,1.129150391E-2
1.437500000E-2,1.296997070E-2
1.439583333E-2,1.394653320E-2
1.441666667E-2,1.428222656E-2
1.443750000E-2,1.324462891E-2
1.445833333E-2,1.080322266E-2
1.447916667E-2,7.965087891E-3
1.450000000E-2,5.584716797E-3
1.452083333E-2,2.502441406E-3
1.454166667E-2,3.356933594E-4
1.456250000E-2,-3.417968750E-3
1.458333333E-2,-7.019042969E-3
1.460416667E-2,-1.242065430E-2
1.462500000E-2,-1.776123047E-2
1.464583333E-2,-2.145385742E-2
1.466666667E-2,-2.288818359E-2
1.468750000E-2,-2.243041992E-2
1.470833333E-2,-2.127075195E-2
1.472916667E-2,-1.934814453E-2
1.475000000E-2,-1.730346680E-2
1.477083333E-2,-1.452636719E-2
1.479166667E-2,-1.068115234E-2
1.481250000E-2,-6.286621094E-3
1.483333333E-2,-2.807617188E-3
1.485416667E-2,-1.281738281E-3
1.487500000E-2,-5.493164062E-4
1.489583333E-2,2.624511719E-3
1.491666667E-2,4.943847656E-3
1.493750000E-2,5.798339844E-3
1.495833333E-2,4.150390625E-3
1.497916667E-2,3.967285156E-4
1.500000000E-2,-6.011962891E-3
1.502083333E-2,-1.168823242E-2
1.504166667E-2,-1.638793945E-2
1.506250000E-2,-1.824951172E-2
1.508333333E-2,-1.736450195E-2
1.510416667E-2,-1.547241211E-2
1.512500000E-2,-1.223754883E-2
1.514583333E-2,-8.880615234E-3
1.516666667E-2,-7.476806641E-3
1.518750000E-2,-8.514404297E-3
1.520833333E-2,-9.582519531E-3
1.522916667E-2,-9.948730469E-3
1.525000000E-2,-8.880615234E-3
1.527083333E-2,-7.568359375E-3
1.529166667E-2,-6.622314453E-3
1.531250000E-2,-6.683349609E-3
1.533333333E-2,-8.117675781E-3
1.535416667E-2,-1.144409180E-2
1.537500000E-2,-1.437377930E-2
1.539583333E-2,-1.599121094E-2
1.541666667E-2,-1.449584961E-2
1.543750000E-2,-1.028442383E-2
1.545833333E-2,-4.791259766E-3
1.547916667E-2,-4.882812500E-4
1.550000000E-2,2.960205078E-3
1.552083333E-2,2.990722656E-3
1.554166667E-2,1.342773438E-3
1.556250000E-2,-1.708984375E-3
1.558333333E-2,-3.936767578E-3
1.560416667E-2,-2.380371094E-3
