"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.322523962E0,-3.411119843E1,-1.235859966E1,1.329800010E0,3.630533310E1
2.332523962E0,-3.412339783E1,-1.229759979E1,1.817799926E0,3.631723608E1
2.342523962E0,-3.426979828E1,-1.227320004E1,2.183799982E0,3.646669022E1
2.352523962E0,-3.430640030E1,-1.223659992E1,2.598599911E0,3.651597186E1
2.362523962E0,-3.423320007E1,-1.221220016E1,3.037799835E0,3.647297695E1
2.372523962E0,-3.419659805E1,-1.226099968E1,3.659999847E0,3.651212169E1
2.382523962E0,-3.426979828E1,-1.217560005E1,4.001599789E0,3.658793669E1
2.392523962E0,-3.430640030E1,-1.205359936E1,4.294399738E0,3.661502735E1
2.402523962E0,-3.444059753E1,-1.191940022E1,4.635999680E0,3.673852682E1
2.412523962E0,-3.447719955E1,-1.182180023E1,4.953199863E0,3.678269211E1
2.422523962E0,-3.448939896E1,-1.173639965E1,5.404599667E0,3.683030566E1
2.432523962E0,-3.452600098E1,-1.156559944E1,5.855999947E0,3.687954134E1
2.442523962E0,-3.466019821E1,-1.140699959E1,6.209799767E0,3.701365414E1
2.452523962E0,-3.475780106E1,-1.116300011E1,6.380599976E0,3.705980790E1
2.462523962E0,-3.479439926E1,-1.104099941E1,6.722199917E0,3.711794525E1
2.472523962E0,-3.477000046E1,-1.091899967E1,7.173599720E0,3.714347882E1
2.482523962E0,-3.475780106E1,-1.079699993E1,7.625000000E0,3.718629542E1
2.492523962E0,-3.481879807E1,-1.063840008E1,8.052000046E0,3.728751748E1
2.502523962E0,-3.481879807E1,-1.044320011E1,8.479000092E0,3.732696840E1
2.512523962E0,-3.480659866E1,-1.033339977E1,8.918199539E0,3.738733401E1
2.522523962E0,-3.470899963E1,-1.019919968E1,9.406199455E0,3.737933811E1
2.532523962E0,-3.451379776E1,-1.004059982E1,9.979599953E0,3.730426646E1
2.542523962E0,-3.444059753E1,-9.821000099E0,1.054080009E1,3.733249614E1
2.552523962E0,-3.433079910E1,-9.589200020E0,1.096780014E1,3.729409020E1
2.562523962E0,-3.429420090E1,-9.381799698E0,1.149240017E1,3.736556760E1
2.572523962E0,-3.420879745E1,-9.162199974E0,1.202919960E1,3.740172957E1
2.582523962E0,-3.408679962E1,-8.954799652E0,1.250500011E1,3.739616789E1
